sym,name,yahoo,currency,exchange,kind,tags,avanza_id,avanza_name
NVDA,NVIDIA,NVDA,USD,Nasdaq,stock,ndx spx,4478,NVIDIA
MSFT,Microsoft,MSFT,USD,Nasdaq,stock,ndx spx,3873,MICROSOFT
AAPL,Apple,AAPL,USD,Nasdaq,stock,ndx spx,3323,APPLE
AMZN,Amazon,AMZN,USD,Nasdaq,stock,ndx spx,3986,AMAZON
META,Meta Platforms,META,USD,Nasdaq,stock,ndx spx,350795,META
AVGO,Broadcom,AVGO,USD,Nasdaq,stock,ndx spx,369636,BROADCOM
AMD,Advanced Micro Devices,AMD,USD,Nasdaq,stock,ndx spx,529720,AMD
GOOGL,Alphabet A,GOOGL,USD,Nasdaq,stock,ndx spx,472095,ALPHABET
TSLA,Tesla,TSLA,USD,Nasdaq,stock,ndx spx,238449,TESLA
COST,Costco,COST,USD,Nasdaq,stock,ndx spx,3378,COSTCO
NFLX,Netflix,NFLX,USD,Nasdaq,stock,ndx spx,185896,NETFLIX
PLTR,Palantir,PLTR,USD,Nasdaq,stock,ndx spx,,PALANTIR
ADBE,Adobe,ADBE,USD,Nasdaq,stock,ndx spx,,ADOBE
CSCO,Cisco,CSCO,USD,Nasdaq,stock,ndx spx,,CISCO
PEP,PepsiCo,PEP,USD,Nasdaq,stock,ndx spx,,PEPSICO
QCOM,Qualcomm,QCOM,USD,Nasdaq,stock,ndx spx,,QUALCOMM
INTU,Intuit,INTU,USD,Nasdaq,stock,ndx spx,,INTUIT
TXN,Texas Instruments,TXN,USD,Nasdaq,stock,ndx spx,,TEXAS
AMGN,Amgen,AMGN,USD,Nasdaq,stock,ndx spx,,AMGEN
ISRG,Intuitive Surgical,ISRG,USD,Nasdaq,stock,ndx spx,,INTUITIVE
BKNG,Booking Holdings,BKNG,USD,Nasdaq,stock,ndx spx,,BOOKING
MU,Micron,MU,USD,Nasdaq,stock,ndx spx,,MICRON
AMAT,Applied Materials,AMAT,USD,Nasdaq,stock,ndx spx,,APPLIED
